Image,Title,Rating,Price,Result_Type
https://m.media-amazon.com/images/I/71zMooVIVAL._AC_UY218_.jpg,"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop",4.1 out of 5 stars,"46,990",Organic
https://m.media-amazon.com/images/I/611DLBKu8JL._AC_UY218_.jpg,"Dell 15, 13th Generation Intel Core i5-1334U Processor, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm Display, Windows 11, MSO'24, Silver, 1.62kg, Backlit Keyboard, 15 Month McAfee, Thin & Light Laptop",3.9 out of 5 stars,"59,990",Organic
https://m.media-amazon.com/images/I/81LbQEPiFnL._AC_UY218_.jpg,"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue",2.8 out of 5 stars,"19,999",Organic
https://m.media-amazon.com/images/I/61QY1NrWQBL._AC_UY218_.jpg,"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA",3.8 out of 5 stars,"14,990",Organic
https://m.media-amazon.com/images/I/7156bBh8W2L._AC_UY218_.jpg,"Dell 15, Intel Core i3 13th Gen - 1305U, 16 GB:DDR4 RAM, 512GB, FHD 15.6""/39.6 cm Narrow Border Display, Windows 11, Office H&S 2024, Carbon Grey, Intel UHD Graphics, 1.66 Kg Thin & Light Laptop",3.8 out of 5 stars,"40,990",Organic
https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",4.1 out of 5 stars,"33,821",Ad
https://m.media-amazon.com/images/I/61aXoUYHNcL._AC_UY218_.jpg,"Lenovo LOQ, AMD Ryzen 5 7235HS, NVIDIA RTX 3050A 4GB, 12GB RAM, 512GB SSD, 15.6""(39.6cm), 144Hz, Windows 11, Office Home 2024, Grey, 2.4Kg, 83JC00HNIN, 3 Mon. Game Pass Gaming Laptop",4.2 out of 5 stars,"60,990",Ad
https://m.media-amazon.com/images/I/71yAQOj0FTL._AC_UY218_.jpg,"HP Victus, Intel Core i7, 13th Gen-13620H, 6 GB RTX 3050 Gaming Laptop, (16GB DDR4, 512GB SSD) 144Hz,300 nits, IPS, 15.6inch(39.6cm) Win 11, M365* Office24, Blue,2.29kg, Backlit,fa2077tx",4.2 out of 5 stars,"79,990",Organic
https://m.media-amazon.com/images/I/618zAXbM4uL._AC_UY218_.jpg,"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) Touchscreen, 14""/35.6cm, FHD, Win 11, Office 21, Silver, 1.51kg, ek1074tu/1148tu, Iris Xe, FPR, 5MP Camera, Backlit KB Laptop",3.8 out of 5 stars,"66,490",Organic
https://m.media-amazon.com/images/I/61pI0Rc6h3L._AC_UY218_.jpg,"HP 15, Ryzen 5 7530U Laptop (8GB DDR4,512GB SSD) Anti-Glare,15.6''/39.6cm, FHD, Win11, M365 Basic(1yr),Office Home24, Silver,1.59kg, Radeon Graphics, Camera w/Privacy Shutter, fc0388AU",4.6 out of 5 stars,"36,699",Organic
https://m.media-amazon.com/images/I/81X61ewuNUL._AC_UY218_.jpg,HP 245 AMD R5 8GB 512GB DOS 14-inch 1.36kg,3.8 out of 5 stars,"29,990",Organic
https://m.media-amazon.com/images/I/71JuZnct6TL._AC_UY218_.jpg,"FRONTECH 15.6"" Portable LED Monitor, Full HD IPS, Dual Type-C & Mini HDMI, Built-in Speakers, 180° Stand, Works with Laptop/PS5/Switch/Phone, 1-Year Warranty (MON-0023)",4.1 out of 5 stars,"8,049",Organic
https://m.media-amazon.com/images/I/51XpiWaeMQL._AC_UY218_.jpg,"Lenovo ThinkBook 16, AMD Ryzen 7 7735HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, 1.7kg, 21MWA0AUIN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop",3.6 out of 5 stars,"48,990",Organic
https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i5-1334U Laptop (12GB DDR4,512GB SSD) Anti-Glare,Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/Privacy Shutter, fd0575TU",3.8 out of 5 stars,"49,280",Organic
https://m.media-amazon.com/images/I/71nNbeNyfHL._AC_UY218_.jpg,"Cable World Educational Laptop Computer Toy for Kids Above 3 Years - 20 Fun Activity Learning Machine, Now Learn Letter, Words, Games, Mathematics, Music, Logic, Memory Tool,Pink",3.8 out of 5 stars,640,Organic
https://m.media-amazon.com/images/I/51CIIx6l+VL._AC_UY218_.jpg,"Primebook 2 Pro 2025 (New Launch) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)",4.5 out of 5 stars,"18,590",Ad
https://m.media-amazon.com/images/I/713cu-sW3TL._AC_UY218_.jpg,"Primebook 2 Neo 2025 (New Launch) | 6GB RAM, 128GB Storage (Upgradable Upto 512GB) | MediaTek Helio G99 | Android 15 (PrimeOS3.0) | in-Built AI | 11.6” Thin & Light Laptop | Type-C, USB, MicroSD Ports",4.5 out of 5 stars,"14,990",Ad
https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",4.0 out of 5 stars,"37,990",Ad
https://m.media-amazon.com/images/I/71Z4mSII9BL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i5-1334U, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",3.8 out of 5 stars,"52,490",Ad
https://m.media-amazon.com/images/I/81rRMwFG0+L._AC_UY218_.jpg,"Dyazo Water Resistant Laptop Sleeve/Laptop case/laptop cover with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey",4.3 out of 5 stars,299,Organic
